,Economy (GDP per Capita),Generosity,Country,Happiness Rank,Health (Life Expectancy),year,Happiness Score,Trust (Government Corruption),Freedom,Continent
152,0.30070585,0.135234714,Afghanistan,153,0.266051531,2020,2.566900015,0.001225785,0.0,Asia
140,0.401477217674255,0.311870932579041,Afghanistan,141,0.18074677884578697,2017,3.7939999103546103,0.0611578300595284,0.106179520487785,Asia
153,0.35,0.158,Afghanistan,154,0.361,2019,3.2030000000000003,0.025,0.0,Asia
144,0.332,0.191,Afghanistan,145,0.255,2018,3.6319999999999997,0.036000000000000004,0.085,Asia
153,0.38227,0.31268,Afghanistan,154,0.17344,2016,3.36,0.07112,0.1643,Asia
152,0.31982,0.3651,Afghanistan,153,0.30335,2015,3.575,0.09719,0.23414000000000001,Asia
104,0.906653047,0.171027765,Albania,105,0.8463296290000001,2020,4.882699966000001,0.025361285,0.461945891,Europe
111,0.9159999999999999,0.149,Albania,112,0.79,2018,4.586,0.032,0.419,Europe
106,0.9470000000000001,0.17800000000000002,Albania,107,0.8740000000000001,2019,4.718999999999999,0.027000000000000003,0.38299999999999995,Europe
94,0.8786700000000001,0.14272,Albania,95,0.81325,2015,4.959,0.06412999999999999,0.35733000000000004,Europe
108,0.9553,0.1684,Albania,109,0.73007,2016,4.655,0.05301,0.31866,Europe
108,0.996192753314972,0.20131294429302202,Albania,109,0.731159746646881,2017,4.64400005340576,0.0398642159998417,0.381498634815216,Europe
87,1.002,0.073,Algeria,88,0.785,2019,5.211,0.114,0.086,Africa
52,1.09186446666718,0.0694366469979286,Algeria,53,0.6175846457481379,2017,5.872000217437741,0.14609611034393302,0.233335807919502,Africa
99,0.9438560009999999,0.118915014,Algeria,100,0.745418549,2020,5.005099773,0.12919065400000002,0.083943799,Africa
83,0.9790000000000001,0.055,Algeria,84,0.687,2018,5.295,0.135,0.077,Africa
67,0.93929,0.07822,Algeria,68,0.61766,2015,5.605,0.17382999999999998,0.28579,Africa
37,1.05266,0.07044,Algeria,38,0.6180399999999999,2016,6.355,0.16157,0.21006,Africa
136,0.75778,0.12344000000000001,Angola,137,0.16683,2015,4.033,0.07122,0.10384000000000002,Africa
139,0.8584281802177429,0.09792649000883098,Angola,140,0.0498686656355858,2017,3.79500007629395,0.0697203353047371,0.0,Africa
140,0.84731,0.12070999999999998,Angola,141,0.04991,2016,3.866,0.08434,0.00589,Africa
141,0.73,0.079,Angola,142,0.26899999999999996,2018,3.795,0.061,0.0,Africa
25,1.15137,0.10989000000000002,Argentina,26,0.69711,2016,6.65,0.07296,0.42283999999999994,South America
54,1.028465629,0.070100471,Argentina,55,0.849773705,2020,5.974699974,0.06041505900000001,0.520840347,South America
28,1.073,0.062,Argentina,29,0.7440000000000001,2018,6.388,0.054000000000000006,0.57,South America
46,1.092,0.066,Argentina,47,0.8809999999999999,2019,6.086,0.05,0.47100000000000003,South America
23,1.18529546260834,0.109457060694695,Argentina,24,0.695137083530426,2017,6.59899997711182,0.05973988771438599,0.49451920390129106,South America
29,1.05351,0.11450999999999999,Argentina,30,0.78723,2015,6.574,0.08484,0.44974,South America
115,0.85,0.095,Armenia,116,0.815,2019,4.559,0.064,0.28300000000000003,Asia
115,0.8082624079999999,0.107225738,Armenia,116,0.77585727,2020,4.676799774,0.104618184,0.37807580799999996,Asia
128,0.816,0.077,Armenia,129,0.6659999999999999,2018,4.321000000000001,0.027999999999999997,0.26,Asia
120,0.8608600000000001,0.07793,Armenia,121,0.64083,2016,4.36,0.036160000000000005,0.14037,Asia
126,0.7682100000000001,0.07855,Armenia,127,0.7299,2015,4.35,0.039,0.19847,Asia
120,0.900596737861633,0.0834880918264389,Armenia,121,0.637524425983429,2017,4.37599992752075,0.0266744215041399,0.198303267359734,Asia
8,1.4444299999999999,0.47407,Australia,9,0.8512,2016,7.313,0.32331,0.5683699999999999,Australia
9,1.4844149351120002,0.47769924998283403,Australia,10,0.84388679265976,2017,7.28399991989136,0.301183730363846,0.601607382297516,Australia
10,1.3719999999999999,0.332,Australia,11,1.036,2019,7.228,0.29,0.557,Australia
11,1.310396433,0.324973613,Australia,12,1.022607684,2020,7.222799778,0.335996419,0.621877193,Australia
9,1.34,0.361,Australia,10,0.91,2018,7.272,0.302,0.647,Australia
9,1.33358,0.43562,Australia,10,0.93156,2015,7.284,0.35636999999999996,0.6512399999999999,Australia
