,Health (Life Expectancy),year,Happiness Rank,Generosity,Freedom,Happiness Score,Trust (Government Corruption),Economy (GDP per Capita),Country,Continent
0,0.17344,2016,154,0.31268,0.1643,3.36,0.07112,0.38227,Afghanistan,Asia
1,0.30335,2015,153,0.3651,0.23414,3.575,0.09719,0.31982,Afghanistan,Asia
2,0.255,2018,145,0.191,0.085,3.632,0.036000000000000004,0.332,Afghanistan,Asia
3,0.361,2019,154,0.158,0.0,3.2030000000000003,0.025,0.35,Afghanistan,Asia
4,0.18074677884578694,2017,141,0.311870932579041,0.106179520487785,3.79399991035461,0.0611578300595284,0.401477217674255,Afghanistan,Asia
5,0.731159746646881,2017,109,0.201312944293022,0.381498634815216,4.64400005340576,0.0398642159998417,0.996192753314972,Albania,Europe
6,0.73007,2016,109,0.1684,0.31866,4.655,0.05301,0.9553,Albania,Europe
7,0.79,2018,112,0.149,0.419,4.586,0.032,0.916,Albania,Europe
8,0.8740000000000001,2019,107,0.17800000000000002,0.383,4.7189999999999985,0.027000000000000003,0.947,Albania,Europe
9,0.81325,2015,95,0.14272,0.35733000000000004,4.959,0.06412999999999999,0.8786700000000001,Albania,Europe
10,0.6180399999999999,2016,38,0.07044,0.21006,6.355,0.16157,1.05266,Algeria,Africa
11,0.61766,2015,68,0.07822,0.28579,5.605,0.17382999999999998,0.93929,Algeria,Africa
12,0.785,2019,88,0.073,0.086,5.211,0.114,1.002,Algeria,Africa
13,0.6175846457481379,2017,53,0.0694366469979286,0.233335807919502,5.8720002174377415,0.14609611034393302,1.09186446666718,Algeria,Africa
14,0.687,2018,84,0.055,0.077,5.295,0.135,0.979,Algeria,Africa
15,0.16683,2015,137,0.12344,0.10384000000000003,4.033,0.07122,0.75778,Angola,Africa
16,0.0498686656355858,2017,140,0.09792649000883097,0.0,3.79500007629395,0.0697203353047371,0.8584281802177429,Angola,Africa
17,0.04991,2016,141,0.12070999999999997,0.00589,3.866,0.08434,0.84731,Angola,Africa
18,0.269,2018,142,0.079,0.0,3.795,0.061,0.73,Angola,Africa
19,0.7440000000000001,2018,29,0.062,0.57,6.388,0.054000000000000006,1.073,Argentina,South America
20,0.695137083530426,2017,24,0.109457060694695,0.4945192039012911,6.59899997711182,0.059739887714385986,1.18529546260834,Argentina,South America
21,0.69711,2016,26,0.10989000000000003,0.42284,6.65,0.07296,1.15137,Argentina,South America
22,0.8809999999999999,2019,47,0.066,0.471,6.086,0.05,1.092,Argentina,South America
23,0.78723,2015,30,0.11451,0.44974,6.574,0.08484,1.05351,Argentina,South America
24,0.6659999999999999,2018,129,0.077,0.26,4.3210000000000015,0.028,0.816,Armenia,Asia
25,0.815,2019,116,0.095,0.28300000000000003,4.559,0.064,0.85,Armenia,Asia
26,0.64083,2016,121,0.07793,0.14037,4.36,0.036160000000000005,0.8608600000000001,Armenia,Asia
27,0.7299,2015,127,0.07855,0.19847,4.35,0.039,0.7682100000000001,Armenia,Asia
28,0.637524425983429,2017,121,0.0834880918264389,0.198303267359734,4.37599992752075,0.0266744215041399,0.900596737861633,Armenia,Asia
29,0.91,2018,10,0.361,0.647,7.272,0.302,1.34,Australia,Australia
30,0.8512,2016,9,0.47407,0.5683699999999999,7.313,0.32331,1.44443,Australia,Australia
31,0.93156,2015,10,0.43562,0.6512399999999999,7.284,0.35637,1.33358,Australia,Australia
